track,valence_tags,arousal_tags,dominance_tags,genre
check it out,0.235,0.1348076923076923,0.2292307692307692,hip-hop
Great Pumpkin Waltz,0.2503703703703703,0.4540740740740741,0.2585185185185185,halloween
Remember (live),0.2910619469026548,0.7132743362831859,0.4728318584070797,nu metal
Nightmare on My Street,0.3072727272727272,0.5572727272727273,0.3172727272727273,hip-hop
Night of the Vampire,0.3888495575221238,0.7052212389380531,0.4015044247787611,halloween
Just A Little,0.3990566037735849,0.1081132075471698,0.3260377358490566,classic rock
Conflict (live),0.4017391304347826,0.7656521739130434,0.7160869565217393,metal
Overture,0.4045977011494253,0.5517241379310345,0.4119540229885058,halloween
I Was a Teenage Werewolf,0.4085714285714286,0.7409890109890109,0.4218681318681319,psychobilly
Werewolf,0.4150877192982456,0.7528070175438596,0.4285964912280702,halloween
Do You Be,0.42,0.698,0.768,experimental
Grimly Fiendish,0.4714285714285714,0.6428571428571429,0.4800000000000001,punk
Throughout The Dark Months Of,0.4722935779816513,0.3377064220183486,0.4219266055045871,dream pop
Hate My Way,0.4973134328358209,1.588358208955224,1.134179104477612,alternative
Knock three times,0.5326315789473685,1.082105263157895,0.7010526315789474,ambient
Colder,0.5634782608695653,0.4630434782608695,0.6743478260869565,shoegaze
Projekt Terrror,0.5674603174603174,1.3103174603174603,0.6087301587301588,noise
RIP,0.5700000000000001,1.2899999999999998,1.1307692307692307,punk
Got Me Under Pressure (LP Version),0.5716666666666668,0.6016666666666667,0.9066666666666668,rock
Faith,0.6,1.07,0.74,soundtrack
The Trial,0.6006172839506173,0.4381481481481482,0.4692592592592592,post-punk
Perfect Hair,0.6072727272727273,0.2554545454545455,0.6363636363636364,hip-hop
Animal Machine,0.62,0.3118181818181819,0.5854545454545456,rock
Angel's Prayer,0.6235714285714286,0.5164285714285715,0.6749999999999999,new age
You Love The Thunder  (LP Version),0.6274074074074074,0.4481481481481481,0.534074074074074,rock
Zombie Dance,0.6321428571428571,0.5319642857142857,0.6685714285714285,psychobilly
Hold on Tight,0.6397368421052633,0.7064473684210526,0.6773684210526315,doom metal
Red Horizon,0.6730434782608696,0.4239130434782608,0.7239130434782609,new age
Five Ten Fiftyfold,0.6792857142857143,0.4366071428571429,0.6337499999999999,dream pop
Sweet Earth Flying,0.6796039603960397,0.4859405940594059,0.6071287128712872,jazz
A Nightmare on My Street,0.6872,1.136,0.7712,halloween
Rock Island Line,0.6882758620689655,0.4917241379310345,0.7813793103448275,skiffle
Love Is to Die,0.6926315789473684,0.4513157894736843,0.578421052631579,indie
In The Flesh-,0.6978571428571428,0.4589285714285714,0.5782142857142858,progressive rock
Equinox,0.7,1.163333333333333,1.28,folk
Carnival Song,0.7000000000000001,1.163333333333333,1.28,folk
Vampire Girl,0.71,0.4845454545454545,0.6181818181818182,halloween
Hills Of New Zeland,0.7157142857142856,0.3010714285714285,0.75,celtic
Haunt Me,0.7242857142857143,1.3135714285714286,0.7478571428571429,horror punk
CAROLS,0.7304347826086957,1.213913043478261,1.3356521739130434,j-pop
Кто-то,0.744950495049505,0.3504950495049505,0.7996039603960396,indie
Earth People,0.7474999999999999,0.6233333333333334,0.8200000000000001,hip-hop
Tusk,0.7497435897435898,0.4722222222222222,0.8064102564102563,shoegaze
Halloween,0.7515151515151516,0.8356565656565657,0.704949494949495,post-punk
Draining Faces,0.7525925925925926,0.6059259259259259,0.682962962962963,industrial
Nightmare (Please Wake Me Up),0.7611940298507462,1.357462686567164,0.9388059701492538,halloween
Every Day Is Halloween,0.7677876106194691,0.8761061946902655,0.6913274336283186,industrial
For Phoebe Still a Baby,0.768495575221239,0.3232743362831858,0.8053097345132744,alternative
Halloween,0.7708910891089109,1.572079207920792,0.956039603960396,punk
Devotion,0.7722772277227723,0.6088118811881189,0.8108910891089108,ambient
It Used To Be Me,0.7765254237288135,1.0790677966101696,1.1554237288135594,rock
The Lost Art of Keeping a Secr,0.7873684210526316,0.5236842105263159,0.6763157894736843,stoner rock
Sag es laut,0.7875,0.8299999999999998,0.7875,pop
Mince Meat,0.7882758620689655,0.6186206896551725,0.7834482758620689,hip-hop
The Itchy Glowbo Blow,0.795744680851064,0.8787234042553191,0.8425531914893617,dream pop
You Know You're Right [#],0.8076666666666666,0.9553333333333334,0.8323333333333333,grunge
Sacrifice,0.8135593220338984,0.5450847457627119,0.6020338983050847,experimental
"Concerto Grosso In G Minor, Op. 6 No. 8, &Quot;Christmas Concerto&Quot;: II. Pastorale",0.8203508771929824,0.3450877192982456,0.8596491228070176,baroque
2nd Foot Stomp,0.8225,1.0,1.045,alternative
